Date,Location,Median Sale Price,Median Sale Price MoM,Median Sale Price YoY,Homes Sold,Homes Sold MoM,Homes Sold YoY
2020-01-01,"Charlottesville, VA",340,-0.25,-0.0,70,0.06,0.25
2020-02-01,"Charlottesville, VA",370,0.09,-0.01,64,-0.09,0.18
2020-03-01,"Charlottesville, VA",303,-0.18,-0.14,92,0.44,-0.02
2020-04-01,"Charlottesville, VA",402,0.33,0.22,86,-0.06,-0.16
2020-05-01,"Charlottesville, VA",400,-0.0,0.07,102,0.19,-0.26
2020-06-01,"Charlottesville, VA",360,-0.1,0.03,141,0.38,-0.15
2020-07-01,"Charlottesville, VA",414,0.15,0.12,104,-0.26,-0.02
2020-08-01,"Charlottesville, VA",385,-0.07,0.13,99,-0.05,-0.15
2020-09-01,"Charlottesville, VA",369,-0.04,0.15,108,0.09,0.29
2020-10-01,"Charlottesville, VA",391,0.06,0.06,89,-0.18,-0.13
2020-11-01,"Charlottesville, VA",399,0.02,0.3,90,0.01,0.18
2020-12-01,"Charlottesville, VA",428,0.07,-0.06,91,0.01,0.38
2021-01-01,"Charlottesville, VA",396,-0.08,0.16,79,-0.13,0.13
2021-02-01,"Charlottesville, VA",397,0.0,0.07,55,-0.3,-0.14
2021-03-01,"Charlottesville, VA",411,0.04,0.36,105,0.91,0.14
2021-04-01,"Charlottesville, VA",450,0.1,0.12,114,0.09,0.33
2021-05-01,"Charlottesville, VA",375,-0.17,-0.06,136,0.19,0.33
2021-06-01,"Charlottesville, VA",419,0.12,0.16,155,0.14,0.1
2021-07-01,"Charlottesville, VA",392,-0.06,-0.05,141,-0.09,0.36
2021-08-01,"Charlottesville, VA",375,-0.04,-0.03,133,-0.06,0.34
2021-09-01,"Charlottesville, VA",469,0.25,0.27,102,-0.23,-0.06
2021-10-01,"Charlottesville, VA",389,-0.17,-0.01,86,-0.16,-0.03
2021-11-01,"Charlottesville, VA",399,0.03,0.0,94,0.09,0.04
2021-12-01,"Charlottesville, VA",400,0.0,-0.07,110,0.17,0.21
2022-01-01,"Charlottesville, VA",349,-0.13,-0.12,46,-0.58,-0.42
2022-02-01,"Charlottesville, VA",398,0.14,0.0,73,0.59,0.33
2022-03-01,"Charlottesville, VA",511,0.28,0.24,98,0.34,-0.07
2022-04-01,"Charlottesville, VA",500,-0.02,0.11,115,0.17,0.01
2022-05-01,"Charlottesville, VA",413,-0.17,0.1,114,-0.01,-0.16
2022-06-01,"Charlottesville, VA",433,0.05,0.04,153,0.34,-0.01
2022-07-01,"Charlottesville, VA",403,-0.07,0.03,128,-0.16,-0.09
2022-08-01,"Charlottesville, VA",426,0.06,0.14,109,-0.15,-0.18
2022-09-01,"Charlottesville, VA",373,-0.13,-0.2,63,-0.42,-0.38
2022-10-01,"Charlottesville, VA",393,0.06,0.01,64,0.02,-0.26
2022-11-01,"Charlottesville, VA",425,0.08,0.06,82,0.28,-0.13
2022-12-01,"Charlottesville, VA",457,0.08,0.14,80,-0.02,-0.27
2023-01-01,"Charlottesville, VA",418,-0.09,0.2,40,-0.5,-0.13
2023-02-01,"Charlottesville, VA",366,-0.12,-0.08,41,0.02,-0.44
2023-03-01,"Charlottesville, VA",358,-0.02,-0.3,49,0.2,-0.5
2023-04-01,"Charlottesville, VA",509,0.42,0.02,73,0.49,-0.36
2023-05-01,"Charlottesville, VA",465,-0.09,0.13,108,0.48,-0.05
2023-06-01,"Charlottesville, VA",463,-0.0,0.07,133,0.23,-0.13
2023-07-01,"Charlottesville, VA",465,0.0,0.15,66,-0.5,-0.48
2023-08-01,"Charlottesville, VA",465,-0.0,0.09,84,0.27,-0.23
2023-09-01,"Charlottesville, VA",450,-0.03,0.21,40,-0.52,-0.36
2023-10-01,"Charlottesville, VA",405,-0.1,0.03,48,0.2,-0.25
2023-11-01,"Charlottesville, VA",375,-0.07,-0.12,48,0.0,-0.42
2023-12-01,"Charlottesville, VA",511,0.36,0.12,65,0.35,-0.19
2024-01-01,"Charlottesville, VA",544,0.06,0.3,32,-0.51,-0.2
2024-02-01,"Charlottesville, VA",454,-0.17,0.24,40,0.25,-0.02
2024-03-01,"Charlottesville, VA",470,0.04,0.32,78,0.95,0.59
2024-04-01,"Charlottesville, VA",531,0.13,0.04,81,0.04,0.11
2024-05-01,"Charlottesville, VA",492,-0.07,0.06,90,0.11,-0.17
2024-06-01,"Charlottesville, VA",532,0.08,0.15,100,0.11,-0.25
2024-07-01,"Charlottesville, VA",540,0.02,0.16,98,-0.02,0.48
2024-08-01,"Charlottesville, VA",550,0.02,0.18,52,-0.47,-0.38
2024-09-01,"Charlottesville, VA",614,0.12,0.36,48,-0.08,0.2
2024-10-01,"Charlottesville, VA",499,-0.19,0.23,70,0.46,0.46
2024-11-01,"Charlottesville, VA",528,0.06,0.41,56,-0.2,0.17
2024-12-01,"Charlottesville, VA",475,-0.1,-0.07,56,0.0,-0.14
2025-01-01,"Charlottesville, VA",424,-0.11,-0.22,45,-0.2,0.41
