Date,Neighborhood ,Median Sale Price (thousands of dollars) ,Median Sale Price MoM,Median Sale Price YoY,Homes Sold,Homes Sold MoM,Homes Sold YoY,Unnamed: 8,Unnamed: 9,Divide by 
2020-01-01,"Venable, VA",480,,0.899,4,,0.333,,,100.0
2020-01-01,"Belmont, VA",300,,-0.135,13,,0.167,,,
2020-02-01,"Venable, VA",416,-0.13,0.707,3,-0.33,-0.25,,,
2020-02-01,"Belmont, VA",284,-0.05,-0.175,14,0.21,-0.176,,,
2020-03-01,"Venable, VA",548,0.32,0.517,2,1.0,-0.5,,,
2020-03-01,"Belmont, VA",272,-0.04,-0.226,17,0.24,-0.19,,,
2020-04-01,"Venable, VA",902,0.65,0.317,4,0.5,0.0,,,
2020-04-01,"Belmont, VA",272,0.0,-0.226,21,-0.1,-0.16,,,
2020-05-01,"Venable, VA",946,0.05,0.051,6,0.67,0.2,,,
2020-05-01,"Belmont, VA",310,0.14,-0.088,19,0.11,-0.321,,,
2020-06-01,"Venable, VA",858,-0.09,-0.0967,10,0.1,0.667,,,
2020-06-01,"Belmont, VA",310,0.0,0.009,21,0.19,-0.447,,,
2020-07-01,"Venable, VA",785,-0.09,-0.332,11,-0.18,1.75,,,
2020-07-01,"Belmont, VA",310,0.0,0.216,25,0.16,-0.432,,,
2020-08-01,"Venable, VA",785,0.0,0.869,9,0.11,0.5,,,
2020-08-01,"Belmont, VA",370,0.19,0.057,29,0.0,-0.383,,,
2020-09-01,"Venable, VA",261,-0.67,-0.184,10,-0.3,1.0,,,
2020-09-01,"Belmont, VA",373,0.01,0.004,29,-0.24,-0.065,,,
2020-10-01,"Venable, VA",210,-0.2,-0.589,7,0.14,-0.125,,,
2020-10-01,"Belmont, VA",320,-0.14,-0.0993,22,0.05,0.158,,,
2020-11-01,"Venable, VA",261,0.24,-0.512,8,-0.5,0.333,,,
2020-11-01,"Belmont, VA",292,-0.09,0.016,23,-0.09,0.643,,,
2020-12-01,"Venable, VA",895,2.43,0.751,4,0.0,-0.333,,,
2020-12-01,"Belmont, VA",361,0.24,0.313,21,0.33,0.615,,,
2021-01-01,"Venable, VA",1200,0.34,1.477,4,-0.5,0.0,,,
