Date,Location,Median Sale Price,Median Sale Price MoM,Median Sale Price YoY,Homes Sold,Homes Sold MoM,Homes Sold YoY
2020-01-01,"Charlottesville, VA",340,-0.25,-0.0,70,0.06,0.25
2020-01-01,"Martha Jefferson, VA",391,,-0.1,6,,-0.14
2020-01-01,"Fifeville, VA",204,,0.18,5,,0.0
2020-01-01,"Jefferson Park, VA",190,,-0.26,7,,0.4
2020-01-01,"Venable, VA",480,,0.899,4,,0.333
2020-01-01,"Belmont, VA",300,,-0.135,13,,0.167
2020-01-01,"Fry's Spring, VA",340,,-0.02,13,,-0.28
2020-02-01,"Martha Jefferson, VA",513,1.28,0.19,4,-0.5,-0.2
2020-02-01,"Fry's Spring, VA",459,0.35,0.34,9,-0.31,-0.47
2020-02-01,"Jefferson Park, VA",168,-0.12,-0.55,5,-0.29,0.0
2020-02-01,"Belmont, VA",284,-0.05,-0.175,14,0.21,-0.176
2020-02-01,"Venable, VA",416,-0.13,0.707,3,-0.33,-0.25
2020-02-01,"Charlottesville, VA",370,0.09,-0.01,64,-0.09,0.18
2020-02-01,"Fifeville, VA",225,-0.42,0.3,8,0.33,0.14
2020-03-01,"Belmont, VA",272,-0.04,-0.226,17,0.24,-0.19
2020-03-01,"Fry's Spring, VA",323,-0.3,0.02,15,0.67,-0.21
2020-03-01,"Jefferson Park, VA",159,-0.05,-0.53,4,-0.2,-0.33
2020-03-01,"Venable, VA",548,0.32,0.517,2,1.0,-0.5
2020-03-01,"Charlottesville, VA",303,-0.18,-0.14,92,0.44,-0.02
2020-03-01,"Martha Jefferson, VA",513,1.28,0.44,4,-0.69,-0.2
2020-03-01,"Fifeville, VA",225,-0.56,-0.05,13,2.25,0.62
2020-04-01,"Venable, VA",902,0.65,0.317,4,0.5,0.0
2020-04-01,"Charlottesville, VA",402,0.33,0.22,86,-0.06,-0.16
2020-04-01,"Belmont, VA",272,0.0,-0.226,21,-0.1,-0.16
2020-04-01,"Fifeville, VA",309,-0.4,0.27,17,3.25,1.43
2020-04-01,"Jefferson Park, VA",183,0.15,-0.52,1,-0.75,-0.83
2020-04-01,"Fry's Spring, VA",341,0.06,0.13,20,0.33,0.0
2020-04-01,"Martha Jefferson, VA",517,0.67,0.54,7,-0.59,0.75
2020-05-01,"Jefferson Park, VA",229,0.25,-0.52,1,0.0,-0.86
2020-05-01,"Charlottesville, VA",400,-0.0,0.07,102,0.19,-0.26
2020-05-01,"Fry's Spring, VA",330,-0.03,0.06,22,0.1,-0.31
2020-05-01,"Fifeville, VA",258,-0.5,-0.16,16,1.29,0.78
2020-05-01,"Martha Jefferson, VA",441,0.71,-0.13,7,-0.56,-0.36
2020-05-01,"Venable, VA",946,0.05,0.051,6,0.67,0.2
2020-05-01,"Belmont, VA",310,0.14,-0.088,19,0.11,-0.321
2020-06-01,"Martha Jefferson, VA",479,0.48,-0.05,8,-0.43,-0.27
2020-06-01,"Charlottesville, VA",360,-0.1,0.03,141,0.38,-0.15
2020-06-01,"Fifeville, VA",323,-0.27,0.11,14,1.0,-0.12
2020-06-01,"Belmont, VA",310,0.0,0.009,21,0.19,-0.447
2020-06-01,"Fry's Spring, VA",339,0.03,-0.03,23,0.05,-0.3
2020-06-01,"Jefferson Park, VA",255,0.11,-0.22,2,1.0,-0.71
2020-06-01,"Venable, VA",858,-0.09,-0.0967,10,0.1,0.667
2020-07-01,"Fry's Spring, VA",372,0.1,0.05,22,-0.04,-0.24
2020-07-01,"Jefferson Park, VA",255,0.0,-0.21,4,1.0,-0.43
2020-07-01,"Charlottesville, VA",414,0.15,0.12,104,-0.26,-0.02
2020-07-01,"Fifeville, VA",248,-0.48,-0.14,14,0.75,-0.3
2020-07-01,"Martha Jefferson, VA",390,0.57,-0.36,5,-0.64,-0.62
2020-07-01,"Belmont, VA",310,0.0,0.216,25,0.16,-0.432
2020-07-01,"Venable, VA",785,-0.09,-0.332,11,-0.18,1.75
2020-08-01,"Charlottesville, VA",385,-0.07,0.13,99,-0.05,-0.15
2020-08-01,"Belmont, VA",370,0.19,0.057,29,0.0,-0.383
2020-08-01,"Venable, VA",785,0.0,0.869,9,0.11,0.5
2020-08-01,"Jefferson Park, VA",253,-0.01,0.34,6,0.5,0.2
2020-08-01,"Fry's Spring, VA",358,-0.04,0.01,20,-0.09,-0.17
2020-08-01,"Fifeville, VA",288,-0.26,0.02,20,3.0,0.0
2020-08-01,"Martha Jefferson, VA",435,0.51,-0.21,7,-0.65,-0.22
2020-09-01,"Fifeville, VA",290,-0.33,0.02,17,1.43,0.55
2020-09-01,"Venable, VA",261,-0.67,-0.184,10,-0.3,1.0
2020-09-01,"Martha Jefferson, VA",580,1.0,0.36,7,-0.59,-0.3
2020-09-01,"Charlottesville, VA",369,-0.04,0.15,108,0.09,0.29
2020-09-01,"Jefferson Park, VA",305,0.21,0.6,7,0.17,2.5
2020-09-01,"Fry's Spring, VA",375,0.05,0.19,15,-0.25,0.35
2020-09-01,"Belmont, VA",373,0.01,0.004,29,-0.24,-0.065
2020-10-01,"Charlottesville, VA",391,0.06,0.06,89,-0.18,-0.13
2020-10-01,"Martha Jefferson, VA",495,0.52,0.62,10,-0.41,0.11
2020-10-01,"Jefferson Park, VA",305,0.0,-0.12,7,0.0,0.17
2020-10-01,"Venable, VA",210,-0.2,-0.589,7,0.14,-0.125
2020-10-01,"Fifeville, VA",325,-0.44,0.24,17,1.43,0.42
2020-10-01,"Belmont, VA",320,-0.14,-0.0993,22,0.05,0.158
2020-10-01,"Fry's Spring, VA",390,0.04,0.28,21,0.4,-0.04
2020-11-01,"Martha Jefferson, VA",454,0.4,0.57,12,-0.08,0.33
2020-11-01,"Fifeville, VA",325,-0.34,0.23,13,0.3,0.86
2020-11-01,"Fry's Spring, VA",395,0.01,0.29,21,0.0,0.0
2020-11-01,"Charlottesville, VA",399,0.02,0.3,90,0.01,0.18
2020-11-01,"Venable, VA",261,0.24,-0.512,8,-0.5,0.333
2020-11-01,"Belmont, VA",292,-0.09,0.016,23,-0.09,0.643
2020-11-01,"Jefferson Park, VA",362,0.19,0.12,6,-0.14,-0.25
2020-12-01,"Fry's Spring, VA",395,0.0,0.29,22,0.05,0.22
2020-12-01,"Jefferson Park, VA",235,-0.35,-0.41,6,0.0,-0.33
2020-12-01,"Charlottesville, VA",428,0.07,-0.06,91,0.01,0.38
2020-12-01,"Belmont, VA",361,0.24,0.313,21,0.33,0.615
2020-12-01,"Fifeville, VA",315,-0.31,0.54,14,0.17,1.0
2020-12-01,"Martha Jefferson, VA",498,0.58,0.72,13,-0.07,0.86
2020-12-01,"Venable, VA",895,2.43,0.751,4,0.0,-0.333
2021-01-01,"Charlottesville, VA",396,-0.08,0.16,79,-0.13,0.13
2021-01-01,"Belmont, VA",339,-0.06,0.131,28,-0.11,1.154
2021-01-01,"Venable, VA",1200,0.34,1.477,4,-0.5,0.0
2021-01-01,"Fry's Spring, VA",360,-0.09,0.06,15,-0.32,0.15
2021-01-01,"Jefferson Park, VA",235,0.0,0.23,6,0.0,-0.14
2021-01-01,"Martha Jefferson, VA",749,1.33,0.92,10,0.43,0.67
2021-01-01,"Fifeville, VA",321,-0.36,0.57,7,-0.46,0.4
2021-02-01,"Martha Jefferson, VA",782,2.05,0.52,6,0.2,0.5
2021-02-01,"Fry's Spring, VA",362,0.01,-0.21,14,-0.07,0.56
2021-02-01,"Jefferson Park, VA",210,-0.11,0.23,5,-0.17,0.0
2021-02-01,"Charlottesville, VA",397,0.0,0.07,55,-0.3,-0.14
2021-02-01,"Venable, VA",1700,0.42,3.105,2,3.0,-0.333
2021-02-01,"Belmont, VA",389,0.15,0.373,25,0.08,0.786
2021-02-01,"Fifeville, VA",256,-0.66,0.14,5,-0.5,-0.38
2021-03-01,"Charlottesville, VA",411,0.04,0.36,105,0.91,0.14
2021-03-01,"Venable, VA",880,-0.48,0.606,8,0.13,3.0
2021-03-01,"Belmont, VA",307,-0.21,0.129,27,-0.11,0.588
2021-03-01,"Fry's Spring, VA",358,-0.01,0.11,11,-0.21,0.27
2021-03-01,"Jefferson Park, VA",233,0.11,0.46,6,0.2,0.5
2021-03-01,"Fifeville, VA",256,-0.67,0.14,7,0.17,-0.46
2021-03-01,"Martha Jefferson, VA",489,0.91,-0.05,6,-0.14,0.5
2021-04-01,"Belmont, VA",349,0.14,0.129,24,0.38,0.143
2021-04-01,"Jefferson Park, VA",250,0.07,0.37,5,-0.17,4.0
2021-04-01,"Venable, VA",660,-0.25,0.606,9,0.22,1.25
2021-04-01,"Fry's Spring, VA",375,0.05,0.1,17,0.55,-0.15
2021-04-01,"Martha Jefferson, VA",445,0.7,-0.14,7,-0.3,0.0
2021-04-01,"Fifeville, VA",261,-0.47,-0.16,10,0.67,-0.41
2021-04-01,"Charlottesville, VA",450,0.1,0.12,114,0.09,0.33
2021-05-01,"Fifeville, VA",320,-0.28,0.24,16,1.29,0.0
2021-05-01,"Martha Jefferson, VA",448,0.4,0.02,8,-0.5,0.14
2021-05-01,"Fry's Spring, VA",370,-0.01,0.12,21,0.24,-0.04
2021-05-01,"Jefferson Park, VA",340,0.36,0.48,7,0.4,6.0
2021-05-01,"Venable, VA",660,0.0,-0.268,11,-0.55,0.833
2021-05-01,"Charlottesville, VA",375,-0.17,-0.06,136,0.19,0.33
2021-05-01,"Belmont, VA",318,-0.09,0.283,33,0.12,0.737
2021-06-01,"Fry's Spring, VA",420,0.14,0.24,31,0.48,0.35
2021-06-01,"Fifeville, VA",335,-0.25,0.04,19,1.38,0.36
2021-06-01,"Belmont, VA",393,0.24,0.026,37,0.22,0.762
2021-06-01,"Venable, VA",660,0.0,-0.302,5,-0.2,-0.5
2021-06-01,"Martha Jefferson, VA",389,0.16,-0.19,7,-0.63,-0.12
2021-06-01,"Charlottesville, VA",419,0.12,0.16,155,0.14,0.1
2021-06-01,"Jefferson Park, VA",299,-0.12,0.17,6,-0.14,2.0
2021-07-01,"Belmont, VA",393,0.0,0.052,45,0.04,0.8
2021-07-01,"Venable, VA",876,0.33,0.116,4,-0.25,-0.636
2021-07-01,"Fry's Spring, VA",397,-0.05,0.07,32,0.03,0.46
2021-07-01,"Charlottesville, VA",392,-0.06,-0.05,141,-0.09,0.36
2021-07-01,"Fifeville, VA",311,-0.2,0.25,24,2.43,0.71
2021-07-01,"Martha Jefferson, VA",448,0.44,0.15,6,-0.75,0.2
2021-07-02,"Jefferson Park, VA",238,-0.2,-0.07,8,0.33,1.0
2021-08-01,"Charlottesville, VA",375,-0.04,-0.03,133,-0.06,0.34
2021-08-01,"Fry's Spring, VA",389,-0.02,0.08,34,0.06,0.7
2021-08-01,"Belmont, VA",400,0.02,0.081,47,0.04,0.621
2021-08-01,"Venable, VA",845,-0.04,0.076,3,0.0,-0.667
2021-08-01,"Fifeville, VA",298,-0.33,0.03,22,2.67,0.1
2021-08-01,"Martha Jefferson, VA",417,0.4,-0.04,6,-0.73,-0.14
2021-08-02,"Jefferson Park, VA",203,-0.15,-0.2,6,-0.25,0.0
2021-09-01,"Belmont, VA",361,-0.1,-0.034,49,-0.35,0.69
