Date,Location,Median Sale Price,Median Sale Price MoM,Median Sale Price YoY,Homes Sold,Homes Sold MoM,Homes Sold YoY
1/1/20,"Venable, VA",480,NA,0.899,4,NA,0.333
1/1/20,"Belmont, VA",300,NA,-0.135,13,NA,0.167
2/1/20,"Venable, VA",416,-0.13,0.707,3,-0.33,-0.25
2/1/20,"Belmont, VA",284,-0.05,-0.175,14,0.21,-0.176
3/1/20,"Venable, VA",548,0.32,0.517,2,1,-0.5
3/1/20,"Belmont, VA",272,-0.04,-0.226,17,0.24,-0.19
4/1/20,"Venable, VA",902,0.65,0.317,4,0.5,0
4/1/20,"Belmont, VA",272,0,-0.226,21,-0.1,-0.16
5/1/20,"Venable, VA",946,0.05,0.051,6,0.67,0.2
5/1/20,"Belmont, VA",310,0.14,-0.088,19,0.11,-0.321
6/1/20,"Venable, VA",858,-0.09,-0.0967,10,0.1,0.667
6/1/20,"Belmont, VA",310,0,0.009,21,0.19,-0.447
7/1/20,"Venable, VA",785,-0.09,-0.332,11,-0.18,1.75
7/1/20,"Belmont, VA",310,0,0.216,25,0.16,-0.432
8/1/20,"Venable, VA",785,0,0.869,9,0.11,0.5
8/1/20,"Belmont, VA",370,0.19,0.057,29,0,-0.383
9/1/20,"Venable, VA",261,-0.67,-0.184,10,-0.3,1
9/1/20,"Belmont, VA",373,0.01,0.004,29,-0.24,-0.065
10/1/20,"Venable, VA",210,-0.2,-0.589,7,0.14,-0.125
10/1/20,"Belmont, VA",320,-0.14,-0.0993,22,0.05,0.158
11/1/20,"Venable, VA",261,0.24,-0.512,8,-0.5,0.333
11/1/20,"Belmont, VA",292,-0.09,0.016,23,-0.09,0.643
12/1/20,"Venable, VA",895,2.43,0.751,4,0,-0.333
12/1/20,"Belmont, VA",361,0.24,0.313,21,0.33,0.615
1/1/21,"Venable, VA",1200,0.34,1.477,4,-0.5,0
1/1/21,"Belmont, VA",339,-0.06,0.131,28,-0.11,1.154
2/1/21,"Venable, VA",1700,0.42,3.105,2,3,-0.333
2/1/21,"Belmont, VA",389,0.15,0.373,25,0.08,0.786
3/1/21,"Venable, VA",880,-0.48,0.606,8,0.13,3
3/1/21,"Belmont, VA",307,-0.21,0.129,27,-0.11,0.588
4/1/21,"Venable, VA",660,-0.25,0.606,9,0.22,1.25
4/1/21,"Belmont, VA",349,0.14,0.129,24,0.38,0.143
5/1/21,"Venable, VA",660,0,-0.268,11,-0.55,0.833
5/1/21,"Belmont, VA",318,-0.09,0.283,33,0.12,0.737
6/1/21,"Venable, VA",660,0,-0.302,5,-0.2,-0.5
6/1/21,"Belmont, VA",393,0.24,0.026,37,0.22,0.762
7/1/21,"Venable, VA",876,0.33,0.116,4,-0.25,-0.636
7/1/21,"Belmont, VA",393,0,0.052,45,0.04,0.8
8/1/21,"Venable, VA",845,-0.04,0.076,3,0,-0.667
8/1/21,"Belmont, VA",400,0.02,0.081,47,0.04,0.621
9/1/21,"Venable, VA",712,-0.16,1.726,3,0,0.7
9/1/21,"Belmont, VA",361,-0.1,-0.034,49,-0.35,0.69
10/1/21,"Venable, VA",712,0,2.392,3,0,-0.571
10/1/21,"Belmont, VA",360,0,0.126,32,-0.31,0.455
11/1/21,"Venable, VA",712,0,0.229,3,0,-0.625
11/1/21,"Belmont, VA",395,0.1,-0.167,22,0,-0.043
12/1/21,"Venable, VA",347,-0.51,-0.612,3,-0.33,-0.25
12/1/21,"Belmont, VA",399,0.01,0.107,22,0.05,0.048
1/1/22,"Venable, VA",326,-0.06,-0.725,2,0.5,-0.5
1/1/22,"Belmont, VA",399,0,0.176,23,-0.04,-0.179
2/1/22,"Venable, VA",347,0.06,-0.797,3,0.33,0.5
2/1/22,"Belmont, VA",399,0,0.026,22,-0.41,-0.12
3/1/22,"Venable, VA",719,1.07,-0.183,4,0,-0.5
