Date,Location,Median Sale Price,Median Sale Price MoM,Median Sale Price YoY,Homes Sold,Homes Sold MoM,Homes Sold YoY
2020-01-01,"Fifeville, VA",204,NA,17.90,5,NA,0.00
2020-01-01,"Martha Jefferson, VA",391,NA,-9.58,6,NA,-14.30
2020-02-01,"Fifeville, VA",225,-42.46,30.10,8,33.33,14.30
2020-02-01,"Martha Jefferson, VA",513,128.00,18.80,4,-50.00,-20.00
2020-03-01,"Fifeville, VA",225,-56.14,-4.90,13,225.00,62.50
2020-03-01,"Martha Jefferson, VA",513,128.00,44.50,4,-69.23,-20.00
2020-04-01,"Fifeville, VA",309,-39.77,27.20,17,325.00,142.90
2020-04-01,"Martha Jefferson, VA",517,67.31,54.40,7,-58.82,75.00
2020-05-01,"Fifeville, VA",258,-50.10,-15.60,16,128.57,77.80
2020-05-01,"Martha Jefferson, VA",441,70.93,-12.70,7,-56.25,-36.40
2020-06-01,"Fifeville, VA",323,-26.76,11.40,14,100.00,-12.50
2020-06-01,"Martha Jefferson, VA",479,48.30,-5.10,8,-42.86,-27.30
2020-07-01,"Fifeville, VA",248,-48.23,-14.50,14,75.00,-30.00
2020-07-01,"Martha Jefferson, VA",390,57.26,-36.10,5,-64.29,-61.50
2020-08-01,"Fifeville, VA",288,-26.15,2.10,20,300.00,0.00
2020-08-01,"Martha Jefferson, VA",435,51.04,-20.90,7,-65.00,-22.20
2020-09-01,"Fifeville, VA",290,-33.33,1.70,17,142.86,54.50
2020-09-01,"Martha Jefferson, VA",580,100.00,36.50,7,-58.82,-30.00
2020-10-01,"Fifeville, VA",325,-43.97,23.80,17,142.86,41.70
2020-10-01,"Martha Jefferson, VA",495,52.31,62.30,10,-41.18,11.10
2020-11-01,"Fifeville, VA",325,-34.34,22.70,13,30.00,85.70
2020-11-01,"Martha Jefferson, VA",454,39.69,56.60,12,-7.69,33.30
2020-12-01,"Fifeville, VA",315,-30.62,54.40,14,16.67,100.00
2020-12-01,"Martha Jefferson, VA",498,58.10,71.70,13,-7.14,85.70
2021-01-01,"Fifeville, VA",321,-35.54,57.40,7,-46.15,40.00
2021-01-01,"Martha Jefferson, VA",749,133.33,91.60,10,42.86,66.70
2021-02-01,"Fifeville, VA",256,-65.82,13.90,5,-50.00,-37.50
2021-02-01,"Martha Jefferson, VA",782,205.47,52.50,6,20.00,50.00
2021-03-01,"Fifeville, VA",256,-67.26,13.90,7,16.67,-46.20
2021-03-01,"Martha Jefferson, VA",489,91.02,-4.60,6,-14.29,50.00
2021-04-01,"Fifeville, VA",261,-46.63,-15.70,10,66.67,-41.20
2021-04-01,"Martha Jefferson, VA",445,70.50,-14.00,7,-30.00,0.00
2021-05-01,"Fifeville, VA",320,-28.09,24.30,16,128.57,0.00
2021-05-01,"Martha Jefferson, VA",448,40.00,1.50,8,-50.00,14.30
2021-06-01,"Fifeville, VA",335,-25.22,3.60,19,137.50,35.70
2021-06-01,"Martha Jefferson, VA",389,16.12,-18.80,7,-63.16,-12.50
2021-07-01,"Fifeville, VA",311,-20.05,25.20,24,242.86,71.40
