Date,Location,Median Sale Price,Median Sale Price MoM,Median Sale Price YoY,Homes Sold,Homes Sold MoM,Homes Sold YoY
2020-01-01,"Fry's Spring, VA",340,NA,-1.50,13,NA,-27.8
2020-01-01,"Jefferson Park, VA",190,NA,-26.50,7,NA,40
2020-02-01,"Fry's Spring, VA",459,35.00,34.10,9,-30.77,-47.1
2020-02-01,"Jefferson Park, VA",168,-11.58,-55.00,5,-28.57,0
2020-03-01,"Fry's Spring, VA",323,-29.63,1.70,15,66.67,-21.1
2020-03-01,"Jefferson Park, VA",159,-5.36,-52.70,4,-20.00,-33.3
2020-04-01,"Fry's Spring, VA",341,5.57,13.10,20,33.33,0
2020-04-01,"Jefferson Park, VA",183,15.09,-52.30,1,-75.00,-83.3
2020-05-01,"Fry's Spring, VA",330,-3.23,6.00,22,10.00,-31.1
2020-05-01,"Jefferson Park, VA",229,25.14,-52.30,1,0.00,-85.7
2020-06-01,"Fry's Spring, VA",339,2.73,-2.70,23,4.55,-30.3
2020-06-01,"Jefferson Park, VA",255,11.35,-22.40,2,100.00,-71.4
2020-07-01,"Fry's Spring, VA",372,9.73,5.10,22,-4.35,-24.1
2020-07-01,"Jefferson Park, VA",255,0.00,-20.70,4,100.00,-42.9
2020-08-01,"Fry's Spring, VA",358,-3.76,0.60,20,-9.09,-16.7
2020-08-01,"Jefferson Park, VA",253,-0.78,33.90,6,50.00,20
2020-09-01,"Fry's Spring, VA",375,4.75,18.90,15,-25.00,34.8
2020-09-01,"Jefferson Park, VA",305,20.55,60.10,7,16.67,250
2020-10-01,"Fry's Spring, VA",390,4.00,27.70,21,40.00,-4.5
2020-10-01,"Jefferson Park, VA",305,0.00,-11.60,7,0.00,16.7
2020-11-01,"Fry's Spring, VA",395,1.28,29.10,21,0.00,0
2020-11-01,"Jefferson Park, VA",362,18.69,12.10,6,-14.29,-25
2020-12-01,"Fry's Spring, VA",395,0.00,28.80,22,4.76,22.2
2020-12-01,"Jefferson Park, VA",235,-35.08,-41.40,6,0.00,-33.3
2021-01-01,"Fry's Spring, VA",360,-8.86,5.90,15,-31.82,15.4
2021-01-01,"Jefferson Park, VA",235,0.00,23.40,6,0.00,-14.3
2021-02-01,"Fry's Spring, VA",362,0.56,-21.30,14,-6.67,55.6
2021-02-01,"Jefferson Park, VA",210,-10.64,23.40,5,-16.67,0
2021-03-01,"Fry's Spring, VA",358,-1.10,11.00,11,-21.43,26.7
2021-03-01,"Jefferson Park, VA",233,10.95,46.50,6,20.00,50
2021-04-01,"Fry's Spring, VA",375,4.75,9.90,17,54.55,-15
2021-04-01,"Jefferson Park, VA",250,7.30,36.60,5,-16.67,400
2021-05-01,"Fry's Spring, VA",370,-1.33,12.10,21,23.53,-4.5
2021-05-01,"Jefferson Park, VA",340,36.00,48.50,7,40.00,600
2021-06-01,"Fry's Spring, VA",420,13.51,24.00,31,47.62,34.8
2021-06-01,"Jefferson Park, VA",299,-12.06,17.30,6,-14.29,200
2021-07-01,"Fry's Spring, VA",397,-5.48,6.70,32,3.23,45.5
2021-07-02,"Jefferson Park, VA",238,-20.40,-6.70,8,33.33,100
2021-08-01,"Fry's Spring, VA",389,-2.02,8.50,34,6.25,70
2021-08-02,"Jefferson Park, VA",203,-14.71,-20.00,6,-25.00,0
2021-09-01,"Fry's Spring, VA",346,-11.05,-7.80,22,-35.29,46.7
2021-09-02,"Jefferson Park, VA",179,-11.82,-41.40,8,33.33,14.3
2021-10-01,"Fry's Spring, VA",368,6.36,-5.60,24,9.09,14.3
2021-10-02,"Jefferson Park, VA",245,36.87,-19.70,9,12.50,28.6
2021-11-01,"Fry's Spring, VA",400,8.70,1.30,21,-12.50,0
2021-11-01,"Jefferson Park, VA",278,13.47,-23.00,12,33.33,100
2021-12-01,"Fry's Spring, VA",388,-3.00,-1.70,24,14.29,9.1
2021-12-01,"Jefferson Park, VA",367,32.01,56.60,10,-16.67,66.7
2022-01-01,"Fry's Spring, VA",385,-0.77,6.90,16,-33.33,6.7
2022-01-01,"Jefferson Park, VA",250,-31.88,6.60,7,-30.00,16.7
2022-02-01,"Fry's Spring, VA",380,-1.30,5.10,15,-6.25,7.1
2022-02-01,"Jefferson Park, VA",231,-7.60,9.80,6,-14.29,20
2022-03-01,"Fry's Spring, VA",380,0.00,6.10,17,13.33,54.5
2022-03-01,"Jefferson Park, VA",241,4.33,3.70,6,0.00,0
2022-04-01,"Fry's Spring, VA",392,3.16,4.50,19,11.76,11.8
2022-04-01,"Jefferson Park, VA",457,89.63,82.80,7,16.67,40
2022-05-01,"Fry's Spring, VA",398,1.53,7.40,22,15.79,4.8
2022-05-01,"Jefferson Park, VA",457,0.00,34.40,7,0.00,0
2022-06-01,"Fry's Spring, VA",413,3.77,-1.70,27,22.73,-12.9
2022-06-01,"Jefferson Park, VA",367,-19.69,22.80,8,14.29,33.3
2022-07-01,"Fry's Spring, VA",410,-0.73,3.10,24,-11.11,-25
2022-07-01,"Jefferson Park, VA",342,-6.81,43.80,10,25.00,25
2022-08-01,"Fry's Spring, VA",425,3.66,9.30,29,20.83,-14.7
2022-08-01,"Jefferson Park, VA",325,-4.97,60.50,10,0.00,66.7
2022-09-01,"Fry's Spring, VA",403,-5.18,16.50,22,-24.14,0
2022-09-01,"Jefferson Park, VA",245,-24.62,37.10,8,-20.00,0
2022-10-01,"Fry's Spring, VA",403,0.00,9.40,24,9.09,0
2022-10-01,"Jefferson Park, VA",219,-10.61,-10.80,4,-50.00,-56.6
2022-11-01,"Fry's Spring, VA",373,-7.44,-6.80,17,-29.17,-19
2022-11-01,"Jefferson Park, VA",365,66.67,31.10,6,50.00,-50
2022-12-01,"Fry's Spring, VA",360,-3.49,-7.30,19,11.76,-20.8
2022-12-01,"Jefferson Park, VA",355,-2.74,-3.30,7,16.67,-30
2023-01-01,"Fry's Spring, VA",350,-2.78,-9.10,14,-26.32,-12.5
2023-01-01,"Jefferson Park, VA",355,0.00,42.00,8,14.29,14.3
2023-02-01,"Fry's Spring, VA",350,0.00,-7.90,15,7.14,0
2023-02-01,"Jefferson Park, VA",273,-23.10,18.40,4,-50.00,-33.3
2023-03-01,"Fry's Spring, VA",355,1.43,-6.70,11,-26.67,-35.3
2023-03-01,"Jefferson Park, VA",321,17.58,33.00,4,0.00,-33.3
2023-04-01,"Fry's Spring, VA",402,13.24,2.60,13,18.18,-31.6
2023-04-01,"Jefferson Park, VA",321,0.00,-29.90,4,0.00,-42.9
2023-05-01,"Fry's Spring, VA",475,18.16,19.50,15,15.38,-31.8
2023-05-01,"Jefferson Park, VA",276,-14.02,-39.60,5,25.00,-28.6
2023-06-01,"Fry's Spring, VA",509,7.16,23.10,26,73.33,-3.7
2023-06-01,"Jefferson Park, VA",342,23.91,-6.80,4,-20.00,-50
2023-07-01,"Fry's Spring, VA",500,-1.77,22.10,29,11.54,20.8
2023-07-01,"Jefferson Park, VA",271,-20.76,-20.80,6,50.00,-40
2023-08-01,"Fry's Spring, VA",475,-5.00,11.80,25,-13.79,-13.8
2023-08-01,"Jefferson Park, VA",265,-2.21,-18.80,5,-16.67,-50
2023-09-01,"Fry's Spring, VA",419,-11.79,3.80,12,-52.00,-45.5
2023-09-01,"Jefferson Park, VA",240,-9.43,-2.20,4,-20.00,-50
2023-10-01,"Fry's Spring, VA",387,-7.64,-4.00,8,-33.33,-66.7
2023-10-01,"Jefferson Park, VA",263,9.58,20.10,6,50.00,50
2023-11-01,"Fry's Spring, VA",419,8.27,12.30,4,-50.00,-76.5
2023-11-01,"Jefferson Park, VA",263,0.00,-28.10,6,0.00,0
2023-12-01,"Fry's Spring, VA",402,-4.06,11.50,8,100.00,-57.9
2023-12-01,"Jefferson Park, VA",382,45.25,7.60,9,50.00,28.6
2024-01-01,"Fry's Spring, VA",437,8.71,24.70,8,0.00,-42.9
2024-01-01,"Jefferson Park, VA",465,21.73,31.00,4,-55.56,-50
2024-02-01,"Fry's Spring, VA",425,-2.75,21.40,8,0.00,-46.7
2024-02-01,"Jefferson Park, VA",480,3.23,75.80,3,-25.00,-25
2024-03-01,"Fry's Spring, VA",489,15.06,37.80,4,-50.00,-63.6
2024-03-01,"Jefferson Park, VA",500,4.17,56.00,1,-66.67,-75
2024-04-01,"Fry's Spring, VA",512,4.70,27.20,11,175.00,-15.4
2024-04-01,"Jefferson Park, VA",265,-47.00,-17.30,3,200.00,-25
2024-05-01,"Fry's Spring, VA",512,0.00,7.70,11,0.00,-26.7
2024-05-01,"Jefferson Park, VA",338,27.55,22.30,6,100.00,20
2024-06-01,"Fry's Spring, VA",533,4.10,4.70,16,45.45,-38.5
2024-06-01,"Jefferson Park, VA",265,-21.60,-22.40,9,50.00,125
2024-07-01,"Fry's Spring, VA",593,11.26,18.50,10,-37.50,-65.5
2024-07-01,"Jefferson Park, VA",333,25.66,23.20,8,-11.11,33.3
2024-08-01,"Fry's Spring, VA",563,-5.06,18.40,12,20.00,-52
2024-08-01,"Jefferson Park, VA",385,15.62,45.30,7,-12.50,40
2024-09-01,"Fry's Spring, VA",580,3.02,38.60,6,-50.00,-50
2024-09-01,"Jefferson Park, VA",501,30.13,109.20,7,0.00,75
2024-10-01,"Fry's Spring, VA",470,-18.97,21.50,6,0.00,-25
2024-10-01,"Jefferson Park, VA",586,16.97,123.00,6,-14.29,0
2024-11-01,"Fry's Spring, VA",555,18.09,32.50,5,-16.67,25
2024-11-01,"Jefferson Park, VA",400,-31.74,52.40,5,-16.67,-16.7
2024-12-01,"Fry's Spring, VA",528,-4.86,31.50,9,80.00,12.5
2024-12-01,"Jefferson Park, VA",448,12.00,17.10,3,-40.00,-66.7
2025-01-01,"Fry's Spring, VA",507,-3.98,16.20,7,-22.22,-12.5
2025-01-01,"Jefferson Park, VA",393,-12.28,-15.60,6,100.00,50
