Region,Month of Period End,Median Sale Price,Median Sale Price MoM,Median Sale Price YoY,Homes Sold,Homes Sold MoM,Homes Sold YoY,New Listings,New Listings MoM,New Listings YoY,Inventory,Inventory MoM,Inventory YoY,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM,Average Sale To List YoY
"Charlottesville, VA",January 2012,$238K,19.70%,4.20%,40,-35.50%,-33.30%,95,179.40%,20.30%,524,3.40%,-7.10%,304,-106,-8,93.30%,0.30%,-0.90%
"Charlottesville, VA",February 2012,$223K,-6.50%,9.60%,65,62.50%,103.10%,166,74.80%,33.90%,599,14.30%,-0.80%,322,9,6,95.50%,2.20%,3.10%
"Charlottesville, VA",March 2012,$196K,-12.00%,-15.10%,96,48.60%,41.20%,171,3.00%,-12.80%,642,7.20%,-9.10%,252,-35,-99,94.60%,-0.90%,-2.10%
"Charlottesville, VA",April 2012,$212K,7.90%,-12.20%,94,-2.10%,62.10%,162,-5.30%,-8.00%,674,5.00%,-13.70%,210,-21,-96,95.30%,0.70%,0.10%
"Charlottesville, VA",May 2012,$231K,9.00%,5.30%,116,23.40%,56.80%,131,-19.00%,17.00%,667,-1.00%,-16.30%,206,-2,-32,96.80%,1.50%,2.30%
"Charlottesville, VA",June 2012,$266K,15.50%,20.40%,125,7.80%,-14.40%,96,-26.70%,-22.60%,633,-5.10%,-15.70%,217,6,-8,94.20%,-2.60%,-0.50%
"Charlottesville, VA",July 2012,$239K,-10.30%,-0.30%,123,-1.60%,36.70%,74,-22.90%,-15.90%,584,-7.70%,-18.70%,210,-4,-7,94.50%,0.30%,1.50%
"Charlottesville, VA",August 2012,$210K,-12.10%,-12.50%,94,-23.60%,-6.90%,64,-13.50%,-34.70%,523,-10.40%,-22.40%,239,15,2,95.20%,0.60%,0.10%
"Charlottesville, VA",September 2012,$222K,5.70%,4.50%,52,-44.70%,-23.50%,85,32.80%,-18.30%,532,1.70%,-19.00%,312,37,20,92.40%,-2.70%,-2.30%
"Charlottesville, VA",October 2012,$233K,4.70%,-7.00%,72,38.50%,56.50%,72,-15.30%,0.00%,496,-6.80%,-22.50%,290,-11,27,94.60%,2.20%,0.50%
