Year-Month,Mean Price,Median Price,Min Price,Max Price,Price Std Dev,Total Homes Sold
2020-01,320.7142857142857,340.0,190,480,101.81145038045292,118
2020-02,347.85714285714283,370.0,168,513,126.67468646290855,107
2020-03,334.7142857142857,303.0,159,548,144.4907312894894,147
2020-04,418.0,341.0,183,902,237.57946039167612,156
2020-05,416.2857142857143,330.0,229,946,245.06646328816888,173
2020-06,417.7142857142857,339.0,255,858,205.8249371721142,219
2020-07,396.2857142857143,372.0,248,785,183.22910457103904,185
2020-08,410.57142857142856,370.0,253,785,175.9307222960761,190
2020-09,364.7142857142857,369.0,261,580,105.23420591821888,193
2020-10,348.0,325.0,210,495,88.90819234843697,173
2020-11,355.42857142857144,362.0,261,454,67.19339536704766,173
2020-12,446.7142857142857,395.0,235,895,214.52794245794206,171
2021-01,514.2857142857143,360.0,235,1200,343.7963128974841,149
2021-02,585.1428571428571,389.0,210,1700,525.1013961041011,112
2021-03,419.14285714285717,358.0,233,880,221.70357730644807,170
2021-04,398.57142857142856,375.0,250,660,139.73648669651644,186
2021-05,404.42857142857144,370.0,318,660,121.11682671819682,232
2021-06,416.42857142857144,393.0,299,660,116.2380562220726,260
2021-07,436.42857142857144,393.0,238,876,205.70112391757218,260
2021-08,418.14285714285717,389.0,203,845,202.47174994010777,251
2021-09,395.57142857142856,361.0,179,712,167.0776836712563,209
2021-10,400.42857142857144,368.0,245,712,145.5184491657984,176
2021-11,459.57142857142856,399.0,278,712,168.32593100178906,170
2021-12,388.7142857142857,388.0,347,470,41.9353243527629,187
2022-01,334.2857142857143,344.0,250,399,52.407742067097566,111
2022-02,344.14285714285717,349.0,231,399,59.94561026861091,136
2022-03,419.42857142857144,380.0,241,719,154.29069656858462,155
2022-04,457.57142857142856,449.0,326,719,129.96776157039503,185
2022-05,502.57142857142856,398.0,365,1100,264.93826774229075,194
2022-06,535.8571428571429,398.0,352,1400,382.0119669030577,254
2022-07,461.42857142857144,403.0,342,920,204.4063413423184,226
2022-08,489.42857142857144,355.0,325,1200,315.8305754371359,206
2022-09,397.57142857142856,373.0,245,650,136.94993871588886,136
2022-10,511.14285714285717,403.0,219,1400,401.49696079025244,131
2022-11,458.14285714285717,373.0,329,875,189.46453368324512,144
2022-12,515.4285714285714,413.0,290,992,255.80647447035497,142
2023-01,613.8571428571429,418.0,348,1600,456.6024633352403,96
2023-02,385.0,350.0,225,685,151.66080574756288,87
2023-03,435.85714285714283,361.0,321,665,135.90245100981878,87
2023-04,489.57142857142856,447.0,296,946,217.69309983158794,120
2023-05,495.42857142857144,470.0,276,1000,238.27635016429778,173
2023-06,540.5714285714286,488.0,312,1100,263.0841799011976,222
2023-07,526.5714285714286,465.0,271,1100,269.9573158500291,157
2023-08,556.1428571428571,475.0,265,1100,269.8224283804867,164
2023-09,492.85714285714283,450.0,240,763,171.6036407650185,92
2023-10,472.85714285714283,405.0,263,995,247.475539916863,95
2023-11,465.14285714285717,419.0,263,995,247.00366297650228,82
2023-12,616.4285714285714,425.0,300,1300,378.463938019136,107
2024-01,568.1428571428571,465.0,310,1300,330.4942907078369,62
2024-02,557.7142857142857,480.0,425,965,191.90597896340998,75
2024-03,512.7142857142857,470.0,301,950,204.33282839990437,110
2024-04,534.7142857142857,512.0,265,940,210.46354734705193,133
2024-05,618.1428571428571,492.0,338,1200,320.01897265184584,151
2024-06,612.8571428571429,532.0,265,1400,371.49043440867064,168
2024-07,629.7142857142857,540.0,333,1400,361.2666209720619,166
2024-08,609.7142857142857,550.0,385,1300,317.0834350165659,112
2024-09,622.1428571428571,580.0,380,1100,240.69858645993236,100
2024-10,636.4285714285714,499.0,373,1100,276.6061322186339,110
2024-11,679.7142857142857,528.0,400,1200,360.17436253649623,94
2024-12,612.7142857142857,495.0,390,1200,283.23000917141195,93
2025-01,543.2857142857143,425.0,390,1200,292.4549619375687,78
